Modelo,Acuracia,F1-score,Precisao,Recall,Acuracia_CV
SVM Linear,0.8518518518518519,0.8666666666666667,0.7878787878787878,0.9629629629629629,0.9022167487684729
Random Forest,0.8148148148148148,0.8333333333333334,0.7575757575757576,0.9259259259259259,0.8955665024630541
SVM Polinomial (grau 2),0.8148148148148148,0.8275862068965517,0.7741935483870968,0.8888888888888888,0.9167487684729064
Ensemble (Voto Majoritario),0.8148148148148148,0.8333333333333334,0.7575757575757576,0.9259259259259259,
KNN,0.7962962962962963,0.8135593220338984,0.75,0.8888888888888888,0.8891625615763546
Arvore de Decisao,0.7222222222222222,0.7272727272727273,0.7142857142857143,0.7407407407407407,0.8536945812807882
